codigo;Data;Visita OTIF;OT;IF;OTIF
0296708;01/03/2024;0001-0010758-01/03/2024-531021;Sim;Sim;Sim
0296708;01/03/2024;0001-0010793-01/03/2024-531035;Sim;Sim;Sim
0296708;01/03/2024;0001-0010869-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0010881-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0010983-01/03/2024-531015;Sim;Sim;Sim
0296708;01/03/2024;0001-0011089-01/03/2024-531033;Sim;Sim;Sim
0296708;01/03/2024;0001-0011222-01/03/2024-531029;Sim;Sim;Sim
0296708;01/03/2024;0001-0011235-01/03/2024-531063;Sim;Sim;Sim
0296708;01/03/2024;0001-0011327-01/03/2024-531015;Sim;Sim;Sim
0296708;01/03/2024;0001-0011409-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0011419-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0011440-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0011465-01/03/2024-531034;Sim;Sim;Sim
0296708;01/03/2024;0001-0011470-01/03/2024-531015;Sim;Sim;Sim
0296708;01/03/2024;0001-0011582-01/03/2024-531034;Sim;Sim;Sim
0296708;01/03/2024;0001-0011592-01/03/2024-531035;Sim;Sim;Sim
0296708;01/03/2024;0001-0011593-01/03/2024-531034;Sim;Sim;Sim
0296708;01/03/2024;0001-0011601-01/03/2024-531033;Sim;Sim;Sim
0296708;01/03/2024;0001-0011649-01/03/2024-531033;Sim;Sim;Sim
0296708;01/03/2024;0001-0011855-01/03/2024-531031;Sim;Sim;Sim
0296708;01/03/2024;0001-0011986-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0012046-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0012073-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0012121-01/03/2024-531052;Sim;Sim;Sim
0296708;01/03/2024;0001-0012246-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0012297-01/03/2024-531042;Sim;Não;Não
0296708;01/03/2024;0001-0012331-01/03/2024-530996;Não;Não;Não
0296708;01/03/2024;0001-0012331-01/03/2024-530998;Não;Sim;Não
0296708;01/03/2024;0001-0012331-01/03/2024-531010;Não;Sim;Não
0296708;01/03/2024;0001-0012361-01/03/2024-531037;Sim;Não;Não
0296708;01/03/2024;0001-0012389-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0012481-01/03/2024-531032;Sim;Sim;Sim
0296708;01/03/2024;0001-0012502-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0012547-01/03/2024-531050;Sim;Sim;Sim
0296708;01/03/2024;0001-0012796-01/03/2024-531012;Sim;Sim;Sim
0296708;01/03/2024;0001-0012805-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0012851-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0012927-01/03/2024-531054;Sim;Sim;Sim
0296708;01/03/2024;0001-0012941-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0012986-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0012991-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0013068-01/03/2024-531030;Sim;Sim;Sim
0296708;01/03/2024;0001-0013087-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0013115-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0013131-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0013162-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0013177-01/03/2024-531024;Sim;Sim;Sim
0296708;01/03/2024;0001-0013180-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0013260-01/03/2024-531031;Sim;Sim;Sim
0296708;01/03/2024;0001-0013281-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0013327-01/03/2024-531036;Sim;Sim;Sim
0296708;01/03/2024;0001-0013372-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0013442-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0013449-01/03/2024-531027;Sim;Sim;Sim
